available;categoryId;currencyId;description;id;local_delivery_cost;modified_time;name;oldprice;param;picture;price;type;url;vendor
true;Pants;USD;"Style:Glamorous
Type:Flared Pants,Wide Leg
Material:95%Polyester,5%Elastane
Length:Long
Pattern Type:Plain
Decoration:Allover Sequin
Fit Type:Regular
Occasion:Night Out,Party
Package Include:1*Pants
Fabric Elasticity:High Stretch
Sheer:No
Care Instructions:Machine wash or professional dry clean


 
 
";55453be0-aa80-4677-8ced-487864b25cfc;0.0;1727873174;High Waist Allover Sequin Wide Leg Flared Nightout Party Pants;41.0;color:Dark Brown|size:S,XL,L,M;https://image.geeko.ltd/original/55453be0-aa80-4677-8ced-487864b25cfc;34.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D55453be0-aa80-4677-8ced-487864b25cfc%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;flips flops;USD;"Style:Chic
Type:Flip Flops
Material:PU
Pattern Type:Plain
Decoration:Hollow-out
Occasion:Beach,Daily,Vacation
Toe:Toe Post
Heel Height:Low Heel
Package Include:1*Flip Flops


 
 
";d6eb1cd5-60e8-44b7-9d77-4650a2c008cf;0.0;1727873174;Women's Metal Buckle Decorated Hollow Thick Sole Wedge Resort Beach Slippers;;color:pink|size:US8.5,US7,US10,US8;https://image.geeko.ltd/original/d6eb1cd5-60e8-44b7-9d77-4650a2c008cf;22.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3Dd6eb1cd5-60e8-44b7-9d77-4650a2c008cf%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Pants;USD;"Style:Casual
Type:Cargo Pants
Material:100%Cotton
Length:Long
Pattern Type:Plain
Decoration:Pocket
Fit Type:Regular
Occasion:Daily
Package Include:1*Pants
Fabric Elasticity:Slight Stretch
Sheer:No
Care Instructions:Machine wash or professional dry clean


 
 
";22bbdc36-55d0-4396-9b8b-6c44bdb80776;0.0;1727873174;Pocket Design Cuffed Suspender Pants;37.0;color:black|size:XL,L,XXL;https://image.geeko.ltd/original/22bbdc36-55d0-4396-9b8b-6c44bdb80776;24.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D22bbdc36-55d0-4396-9b8b-6c44bdb80776%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Flats-Sandals;USD;"Style:Chic
Type:Flat Sandals
Pattern Type:Floral
Occasion:Beach,Daily,Vacation
Toe:Toe Post
Heel Height:Flat
Package Include:1*Sandals
Strap Type:Toe-strap


 
 
";91251def-005d-4320-9663-83cfd90bb6ea;0.0;1727873174;Flower Pattern Slingback Summer Beach Slippers;19.0;color:white|size:US8.5,US9.5,US7,US6;https://image.geeko.ltd/original/91251def-005d-4320-9663-83cfd90bb6ea;11.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D91251def-005d-4320-9663-83cfd90bb6ea%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Two-piece Sets;USD;"Style:Chic
Type:Shorts Set
Material:100%Polyester
Neckline:O-neck
Sleeve Style:Short Sleeve
Length:Above Knee
Pattern Type:Plain
Decoration:Cutout,Slit,Tied Detail
Fit Type:Skinny
Occasion:Daily,Vacation
Package Include:1*Shorts Set
Fabric Elasticity:Slight Stretch
Sheer:No
Care Instructions:Machine wash or professional dry clean


 
 
";222b6bef-2abb-4f3a-a5d8-0e88bbd9c7fd;0.0;1727873174;Tied Detail Slit Asymmetrical Top & Shorts Set;;color:green|size:L,M;https://image.geeko.ltd/original/222b6bef-2abb-4f3a-a5d8-0e88bbd9c7fd;28.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D222b6bef-2abb-4f3a-a5d8-0e88bbd9c7fd%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Heeled-Sandals;USD;"Style:Chic
Type:Heeled-Sandals
Material:100%PU
Pattern Type:Colorblock
Occasion:Daily
Toe:Peep Toe
Heel Height:Low Heel
Package Include:1* Sandals
HEEL HEIGHT:	5.5cm


 
 
   Note: There might be 2-3% difference according to manual measurement. Please check the measurement chart carefully before you buy the item. +Please note that slight color difference should be acceptable due to the light and screen. 
 
";fdd097b2-941a-491a-bb5a-f66d172e77f5;0.0;1727873174;Croc Embossed Rhinestone Chunky Heels;;color:white|size:US8.5,US9.5,US7,US6,US11,US10,US8;https://image.geeko.ltd/original/fdd097b2-941a-491a-bb5a-f66d172e77f5;30.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3Dfdd097b2-941a-491a-bb5a-f66d172e77f5%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Heeled-Sandals;USD;"Style:Chic
Type:Heeled-Sandals
Material:100%PU
Pattern Type:Colorblock
Occasion:Daily
Toe:Peep Toe
Heel Height:Low Heel
Package Include:1* Sandals
HEEL HEIGHT:	5.5cm


 
 
   Note: There might be 2-3% difference according to manual measurement. Please check the measurement chart carefully before you buy the item. +Please note that slight color difference should be acceptable due to the light and screen. 
 
";b85015ae-0b79-4ed8-93c9-e34bbc713047;0.0;1727873174;Croc Embossed Rhinestone Chunky Heels;;color:black|size:US8.5,US9.5,US7,US11,US6,US10,US8;https://image.geeko.ltd/original/b85015ae-0b79-4ed8-93c9-e34bbc713047;30.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3Db85015ae-0b79-4ed8-93c9-e34bbc713047%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Tanks & Crop Tops;USD;"Style:Chic
Type:Ribbed Top,Tank
Material:60%Polyester,35%Viscose,5%Elastane
Neckline:V-Neck
Sleeve Style:Sleeveless
Length:Regular
Pattern Type:Plain
Decoration:Button,Ruched
Fit Type:Skinny
Occasion:Daily
Package Include:1*Top
Fabric Elasticity:High Stretch
Sheer:No
Care Instructions:Machine wash or professional dry clean


 
 
";4a613161-cfbb-4d99-8cce-4b41fe07c0c6;0.0;1727873174;Wrap Ruched Tank Tops V-Neck Solid Button Design Slim Fit Casual Holiday Summer Ribbed Tee Tops;16.0;color:white|size:S,XL,L,XXL;https://image.geeko.ltd/original/4a613161-cfbb-4d99-8cce-4b41fe07c0c6;10.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D4a613161-cfbb-4d99-8cce-4b41fe07c0c6%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Pants;USD;"Style:Casual
Type:Cuffed
Material:95%Polyester,5%Elastane
Length:Long
Pattern Type:Plaid
Decoration:Drawstring,Pocket
Fit Type:Regular
Occasion:Daily,Vacation
Package Include:1*Pants
Fabric Elasticity:Medium Stretch
Sheer:No
Care Instructions:Machine wash or professional dry clean


 
 
  
   
  
  
   Product Features:
  
  
   
    
     Plaid Print, offers a unique visual experience.
     Drawstring provides a secure fit and adds a stylish element.
     Cuffed design accentuates the shape of your legs.
     Pocket Design provides extra storage space and enhances the look.
    
   
  
 
";d06dcc58-cdb7-4838-96a0-1d49486c9315;0.0;1727873174;Plaid Print Cuffed Drawstring Pants;23.0;color:khaki|size:XL;https://image.geeko.ltd/original/d06dcc58-cdb7-4838-96a0-1d49486c9315;10.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3Dd06dcc58-cdb7-4838-96a0-1d49486c9315%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Shirt Dresses;USD;"Style:Casual
Type:Straight
Material:100%Polyester
Neckline:Turn-down Collar
Sleeve Style:Short Sleeve
Length:Mini
Pattern Type:Plain
Decoration:Button,Pocket
Fit Type:Regular
Occasion:Daily,Vacation
Package Include:1* Dress
Fabric Elasticity:Slight Stretch


 
 
   
    
   
   
   Product Features: 
   
   
    
     
     Button Design, offers a timeless elegance and ensures a adjustable fit. 
     Pocket Design, adds a functional element and complements the overall aesthetics. 
     Ultra-soft &amp; skin-friendly. 
     
    
   
 
";8938b9d8-f95b-4708-9339-d381e5802465;0.0;1727873174;Buttoned Pocket Design Casual Shirt Dress;;color:white|size:S,XL,XXL;https://image.geeko.ltd/original/8938b9d8-f95b-4708-9339-d381e5802465;27.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D8938b9d8-f95b-4708-9339-d381e5802465%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
