available;categoryId;currencyId;description;id;modified_time;name;picture;price;shippingPrice;type;url;vendor
true;Jackets&Coats;USD;jackets&coats,men's vintage suede color block shearling fleece fur lapel collar mid-length layer coat jacket;SP24092906P2;1727774843;Men's Vintage Suede Color Block Shearling Fleece Fur Lapel Collar Mid-Length Layer Coat Jacket;https://ups.tujucdn.com/s30885/goods/19996/1525u41c36158e78b4d47b25f2792268559ac.jpg@!h900-w900;67.89;19.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fmens-vintage-suede-color-block-shearling-fleece-fur-lapel-collar-mid-length-layer-coat-jacket-7747402.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Hoodies&Sweatshirts;USD;hoodies&sweatshirts,men's vintage nfl football pocket long sleeve white hoodie;SP240930R3FH;1727774843;Men's Vintage NFL Football Pocket Long Sleeve White Hoodie;https://ups.tujucdn.com/s24748/goods/19996/1525u5901c816f5134a0eac5f802718583396.jpg@!h900-w900;29.89;17.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fmens-vintage-nfl-football-pocket-long-sleeve-white-hoodie-7747676.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Hoodies&Sweatshirts;USD;hoodies&sweatshirts,men's vintage nfl football pocket long sleeve purple hoodie;SP240930Q8V5;1727774843;Men's Vintage NFL Football Pocket Long Sleeve Purple Hoodie;https://ups.tujucdn.com/s24748/goods/19996/1525u475661774ae248758d4b79bd82a75d66.jpg@!h900-w900;29.89;17.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fmens-vintage-nfl-football-pocket-long-sleeve-purple-hoodie-7747675.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Hoodies&Sweatshirts;USD;hoodies&sweatshirts,men's vintage german sprecher brewing rev'd up root beer soda printed beer hoodie;SP2409301LH3;1727774843;Men's Vintage German Sprecher Brewing Rev'd Up Root Beer Soda Printed Beer Hoodie;https://ups.tujucdn.com/s24748/goods/19996/-2uae16b0aa778049cc918cc8bc5773d249.png@!h900-w900;29.89;17.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fmens-vintage-german-sprecher-brewing-revd-up-root-beer-soda-printed-beer-hoodie-7747671.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Hoodies&Sweatshirts;USD;hoodies&sweatshirts,men's vintage henley zipper santa ugly christmas sweatshirt;SP240930S0HF;1727774843;Men's Vintage Henley Zipper Santa Ugly Christmas Sweatshirt;https://ups.tujucdn.com/s24748/goods/19996/1525u9753d2d876924affa921fc0e078eaa49.jpg@!h900-w900;33.89;17.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fmens-vintage-henley-zipper-santa-ugly-christmas-sweatshirt-7747669.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Jackets&Coats;USD;jackets&coats,men's vintage leather multi-pocket fleece lapel collar outdoor layer motorcycle bomber jacket;SP2409303JRL;1727774843;Men's Vintage Leather Multi-Pocket Fleece Lapel Collar Outdoor Layer Motorcycle Bomber Jacket;https://ups.tujucdn.com/s39655/goods/19996/1525uff3ed4aed4c74c0f8117d93a9774bab7.jpg@!h900-w900;68.89;19.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fmens-vintage-leather-multi-pocket-fleece-lapel-collar-outdoor-layer-motorcycle-bomber-jacket-7747662.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Women's Tops;USD;women's tops,women's vintage western suede patchwork cashmere long sleeved cowgirl jacket;SP240930ASDP;1727774843;Women's Vintage Western Suede Patchwork Cashmere Long Sleeved Cowgirl Jacket;https://ups.tujucdn.com/s30885/goods/19996/1677u9230e766bb674345a26d86d270a1af07.png@!h900-w900;66.89;19.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fwomens-vintage-western-suede-patchwork-cashmere-long-sleeved-cowgirl-jacket-7747657.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Vests;USD;vests,men's vintage suede patchwork lamb velvet multi-pocket outdoor motorcycle vest;SP2409293TIR;1727774843;Men's Vintage Suede Patchwork Lamb Velvet Multi-Pocket Outdoor Motorcycle Vest;https://ups.tujucdn.com/s60073/goods/19996/1677uf9c022ef76134c6ca350de7c8e373e76.png@!h900-w900;51.89;17.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fmens-vintage-suede-patchwork-lamb-velvet-multi-pocket-outdoor-motorcycle-vest-7747419.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Hoodies&Sweatshirts;USD;hoodies&sweatshirts,men's vintage german dark beer henley zipper ugly christmas sweatshirt;SP240930NUK8;1727774843;Men's Vintage German Dark Beer Henley Zipper Ugly Christmas Sweatshirt;https://ups.tujucdn.com/s24748/goods/19996/1525udfa6bbb5db924e4bae67ff89c68bbfd2.jpg@!h900-w900;33.89;17.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fmens-vintage-german-dark-beer-henley-zipper-ugly-christmas-sweatshirt-7747667.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Women's Tops;USD;women's tops,women's vintage western suede patchwork cashmere long sleeved cowgirl jacket;SP240930FB0Q;1727774843;Women's Vintage Western Suede Patchwork Cashmere Long Sleeved Cowgirl Jacket;https://ups.tujucdn.com/s30885/goods/19996/1677ub271acbe0de64c809096d0b3d381d863.png@!h900-w900;67.89;19.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fwomens-vintage-western-suede-patchwork-cashmere-long-sleeved-cowgirl-jacket-7747656.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
