available;categoryId;currencyId;description;id;modified_time;name;picture;price;shippingPrice;type;url;vendor
true;T-Shirts;USD;t-shirts,men's business casual houndstooth contrasting cuban collar polo shirt;SP240117OG16;1705665676;Men's Business Casual Houndstooth Contrasting Cuban Collar Polo Shirt;https://ups.aopcdn.com/s30885/goods/19739/-2ud053dc6f9f2445cda016350cf2d88314.jpg@!h900-w900;22.99;16.99;;https://gndrz.com/g/7ez2cndy8k1e88db6f11fe9cf762a5/?f_id=24921&ulp=https%3A%2F%2Fwww.cotosen.com%2Fproducts%2Fmens-business-casual-houndstooth-contrasting-cuban-collar-polo-shirt-7644564.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;COTOSEN
true;Tactical Vest;USD;tactical vest,men's outdoor fishing camping hiking multi-function multi-pocket vest;SP240116HUU3;1705665676;Men's Outdoor Fishing Camping Hiking Multi-function Multi-pocket Vest;https://ups.aopcdn.com/s30885/goods/19739/-2u4208de96279b41c4b11d98d243c8752d.jpg@!h900-w900;58.99;16.99;;https://gndrz.com/g/7ez2cndy8k1e88db6f11fe9cf762a5/?f_id=24921&ulp=https%3A%2F%2Fwww.cotosen.com%2Fproducts%2Fmens-outdoor-fishing-camping-hiking-multi-function-multi-pocket-vest-7643700.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;COTOSEN
true;T-Shirts;USD;t-shirts,men's skull golf shirts short sleeve dry fit golf polo shirt;SP2401168SMT;1705665676;Men's Skull Golf Shirts Short Sleeve Dry Fit GOLF Polo Shirt;https://ups.aopcdn.com/s30885/goods/19739/-2uf9b0a64085f741afbfdb372cfd10011a.jpg@!h900-w900;23.99;16.99;;https://gndrz.com/g/7ez2cndy8k1e88db6f11fe9cf762a5/?f_id=24921&ulp=https%3A%2F%2Fwww.cotosen.com%2Fproducts%2Fmens-skull-golf-shirts-short-sleeve-dry-fit-golf-polo-shirt-7643672.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;COTOSEN
true;women tops;USD;women tops,ollivanders wand shop tshirt;SP231128AITF;1705665676;Ollivanders Wand Shop Tshirt;https://ups.aopcdn.com/s30885/goods/19740/-2ue733eefe928444789bcfe6c31bd4f1e0.jpg@!h900-w900;21.99;13.99;;https://gndrz.com/g/7ez2cndy8k1e88db6f11fe9cf762a5/?f_id=24921&ulp=https%3A%2F%2Fwww.cotosen.com%2Fproducts%2Follivanders-wand-shop-tshirt-7645438.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;COTOSEN
true;women tops;USD;women tops,velaris city of starlight double-sided sweatshirt;SP231209A669;1705665676;Velaris City Of Starlight Double-sided Sweatshirt;https://ups.aopcdn.com/s49767/goods/19705/-2u73ed0527cdf34568a0bbcde84891bdea.jpg@!h900-w900;26.99;16.99;;https://gndrz.com/g/7ez2cndy8k1e88db6f11fe9cf762a5/?f_id=24921&ulp=https%3A%2F%2Fwww.cotosen.com%2Fproducts%2Fvelaris-city-of-starlight-double-sided-sweatshirt-7645437.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;COTOSEN
true;Pants;USD;pants,men's eagle route 66 print pants outdoor vintage washed cotton daily work trousers;SP240116U43N;1705665676;Men's Eagle Route 66 Print Pants Outdoor Vintage Washed Cotton Daily Work Trousers;https://ups.aopcdn.com/s30885/goods/19739/1525u1ae4057035df4878b732510d1092cd3f.jpg@!h900-w900;39.99;21.99;;https://gndrz.com/g/7ez2cndy8k1e88db6f11fe9cf762a5/?f_id=24921&ulp=https%3A%2F%2Fwww.cotosen.com%2Fproducts%2Fmens-eagle-route-66-print-pants-outdoor-vintage-washed-cotton-daily-work-trousers-7643664.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;COTOSEN
true;T-Shirts;USD;t-shirts,men's dark poker skull print henley long sleeve t-shirt;SP240117EDHS;1705665676;Men's Dark Poker Skull Print Henley Long Sleeve T-Shirt;https://ups.aopcdn.com/s30885/goods/19739/-2uc1a98f596ba0426497dc782598563431.jpg@!h900-w900;25.99;16.99;;https://gndrz.com/g/7ez2cndy8k1e88db6f11fe9cf762a5/?f_id=24921&ulp=https%3A%2F%2Fwww.cotosen.com%2Fproducts%2Fmens-dark-poker-skull-print-henley-long-sleeve-t-shirt-7644336.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;COTOSEN
true;T-Shirts;USD;t-shirts,men's t-shirt henley dark skull wings route 66 long sleeve vintage daily tops;SP240117KYV0;1705665676;Men's T-Shirt Henley Dark Skull Wings Route 66 Long Sleeve Vintage Daily Tops;https://ups.aopcdn.com/s30885/goods/19739/1525u8ce4a4fee2b249f3871dddc83845f4dd.jpg@!h900-w900;25.99;16.99;;https://gndrz.com/g/7ez2cndy8k1e88db6f11fe9cf762a5/?f_id=24921&ulp=https%3A%2F%2Fwww.cotosen.com%2Fproducts%2Fmens-t-shirt-henley-dark-skull-wings-route-66-long-sleeve-vintage-daily-tops-7644325.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;COTOSEN
true;T-Shirts;USD;t-shirts,men's t-shirt henley husband of a smartass wife long sleeve vintage daily tops;SP2401170W0Q;1705665676;Men's T-Shirt Henley Husband Of A Smartass Wife Long Sleeve Vintage Daily Tops;https://ups.aopcdn.com/s30885/goods/19739/1525ue8b49573b8ef4fa693aec2eb68fa0f48.jpg@!h900-w900;25.99;16.99;;https://gndrz.com/g/7ez2cndy8k1e88db6f11fe9cf762a5/?f_id=24921&ulp=https%3A%2F%2Fwww.cotosen.com%2Fproducts%2Fmens-t-shirt-henley-husband-of-a-smartass-wife-long-sleeve-vintage-daily-tops-7644640.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;COTOSEN
true;T-Shirts;USD;t-shirts,men's cross jesus print casual beach vacation short sleeve shirt t-shirt;SP2401176AQS;1705665676;Men's Cross Jesus Print Casual Beach Vacation Short Sleeve Shirt T-Shirt;https://ups.aopcdn.com/s30885/goods/19739/-2u199e9ec3088f419886b87ee35395145c.jpg@!h900-w900;27.99;16.99;;https://gndrz.com/g/7ez2cndy8k1e88db6f11fe9cf762a5/?f_id=24921&ulp=https%3A%2F%2Fwww.cotosen.com%2Fproducts%2Fmens-cross-jesus-print-casual-beach-vacation-short-sleeve-shirt-t-shirt-7644614.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;COTOSEN
