available;categoryId;currencyId;delivery;description;id;local_delivery_cost;manufacturer_warranty;modified_time;name;oldprice;param;pickup;picture;price;store;type;url;vendor;vendorCode
true;Sunglasses;USD;true;If you are looking up new sunglasses, this one is your best choice. They are made from TR90, very durable and sturdy. The square frame is stylish and beautiful, making you look very elegant and charm. Buy one pair for yourself! It comes in black, grey, amber and tortoiseshell.  ;4028;0.00;true;1722947868;100274 Square Sunglasses;;tortoiseshell,grey,amber;false;https://www.glasseslit.com/Public/img/products/100274/amber_0.jpg;20.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F100274-amber-100274;Glasseslit;100274
true;Eyeglasses;USD;true;The elegent cat eye frame is suitable for reading glasses. Get it and to be the king. It is comfortable to wear with the spring hinges. It comes in two colors: floral and burgundy.;3917;0.00;true;1722947868;200673 Cateye Spring Hinge Eyeglasses;;red,floral;false;https://www.glasseslit.com/Public/img/products/200673/C2_0.jpg;23.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200673-floral-200673;Glasseslit;200673
true;Sunglasses;USD;true;These attractive rectangle glasses are made with high-quality tr90 which has a glossy finish. The wide frame is so suitable for sunglasses. It is a unisex type.  It is available in the following options: black, grey, amber and tortoiseshell.  ;4032;0.00;true;1722947868;100278 Rectangle Sunglasses;;tortoiseshell,amber,black,grey;false;https://www.glasseslit.com/Public/img/products/100278/grey_0.jpg;22.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F100278-grey-100278;Glasseslit;100278
true;Sunglasses;USD;true;Sweet is the best way to describe these chic cat-eye glasses. The glossy TR90 plastic frame is both excellent  for daily use glasses and sunglasses. It comes in tortoiseshell, beige, black, black and white, black and red.  ;4033;0.00;true;1722947868;100279 Cateyte Sunglasses;;tortoiseshell,pink,black and white,black and red;false;https://www.glasseslit.com/Public/img/products/100279/tortoiseshell_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F100279-tortoiseshell-100279;Glasseslit;100279
true;Eyeglasses;USD;true;The Cateye frame has spring hinges, so it is friendly to lady with not small face. There is diamond metal design on the temple armes. Two colors available: tortoiseshell and purple.;3910;0.00;true;1722947868;200663 Cateye Spring Hinge Eyeglasses;;purple,tortoiseshell;false;https://www.glasseslit.com/Public/img/products/200663/C5_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200663-purple-200663;Glasseslit;200663
true;Sunglasses;USD;true;Made with premium materials, these glasses are durable and wear-resisting. The frame will leave you a deep impression at first sight. This chic pair of eyeglasses is extremely versatile and comfortable. It comes in black, grey, amber and tortoiseshell.  ;4029;0.00;true;1722947868;100275 Oval Sunglasses;;grey;false;https://www.glasseslit.com/Public/img/products/100275/grey_0.jpg;20.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F100275-grey-100275;Glasseslit;100275
true;Eyeglasses;USD;true;Crafted from a mixed material construction of plastic and metal, this fabulous frame uses its unique cat-eye shape to serve up a look that’s simply unforgettable. It has a carved face front. Designed with spring hinges and acetate temple tips for extra comfort and all-day style. Three colors are avaialble: clear, red and tortoiseshell.  ;4163;0.00;true;1722947868;200771 Cateye Spring Hinge Eyeglasses;;tortoiseshell,red,clear;false;https://www.glasseslit.com/Public/img/products/200771/tortoiseshell_0.jpg;22.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200771-tortoiseshell-200771;Glasseslit;200771
true;Eyeglasses;USD;true;The butterfly comes on strong with these chic frames for women. The full-rim butterfly crystal glasses features crystal color and will look fabulous as either everyday optical glasses or a fetching pair of polarized sunglasses. Go for the drama with these frames, available in two colors: clear and green.  ;4164;0.00;true;1722947868;200772 Cateye Spring Hinge Eyeglasses;;green,clear;false;https://www.glasseslit.com/Public/img/products/200772/green_0.jpg;22.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200772-green-200772;Glasseslit;200772
true;Eyeglasses;USD;true;Show your stylish side with these cateye pink/ tortoiseshell eyeglasses. Made with premium material, these glasses are soft, smooth and durable. The frame in design is very fashionable and trendy, which highlights the wearer's high-end taste. Spring hinges can offer a comfortable fit.  ;4166;0.00;true;1722947868;200774 Cateye Spring Hinge Eyeglasses;;pink,tortoiseshell;false;https://www.glasseslit.com/Public/img/products/200774/pink_0.jpg;22.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200774-pink-200774;Glasseslit;200774
true;Eyeglasses;USD;true;Made with premium materials, this pair of glasses is suitable for all-day comfort. It is a perfect ornament that makes you look both stylish and pretty. The cateye eyewear is casual and lovely, giving away a friendly impression. It is nice for ladies to wear it every day. It comes in blue and green.  ;4165;0.00;true;1722947868;200773 Cateye Spring Hinge Eyeglasses;;green,blue;false;https://www.glasseslit.com/Public/img/products/200773/blue_0.jpg;22.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200773-blue-200773;Glasseslit;200773
true;Sunglasses;USD;true;Enjoy a greycolor take on an iconic frame style in these modern geometric glasses. The glossy acetate frame front add a chic color touch with metal temple arms.  ;4204;0.00;true;1722947868;400223 Geometric Sunglasses;;grey;false;https://www.glasseslit.com/Public/img/products/400223/C2_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F400223-grey-400223;Glasseslit;400223
true;Eyeglasses;USD;true;The medium-sized, rectangle frame has a classic full-rim design. It is suitable for business use. With the photochromic lenses, it will change to be sunglasses so easy. Two colors are available: black and silver.  ;4008;0.00;true;1722603321;100292 Rectangle Eyeglasses;;silver;false;https://www.glasseslit.com/Public/img/products/100292/C2_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F100292-black-100292;Glasseslit;100292
true;Eyeglasses;USD;true; This full-rim round design for women comes with stainless steel rods embedded in the arms for easy adjustability, plus unique pearl nose pads provide a comfortable fit. Accented with hand ornaments connect the temple and front rims.;2638;0.00;true;1722342515;Chrischris Cat eye Eyeglasses;;rosegold;false;https://www.glasseslit.com/Public/img/products/J00329/C4_0.jpg;27.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fchrischris-rosegold-j00329;Glasseslit;J00329
true;Eyeglasses;USD;true;These eyeglasses bring a softer side to a high fashion silhouette. This plastic cateye frame is finished in a luminous ebony finish. The metal temples with embossed borders add an elegant touch. Special temple design is balanced out with matching acetate tips.;2731;0.00;true;1722342515;Cathy cat eye Eyeglasses;;black,tortoiseshell,clear,champagne;false;https://www.glasseslit.com/Public/img/products/C00098/C11_0.jpg;19.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fcathy-tortoiseshell-c00098;Glasseslit;C00098
true;Eyeglasses;USD;true;Stylish and sleek, Ellen features a browline and temple, with a matte front. Adjustable nose pads and acetate temple tips ensure a comfortable fit.;2809;0.00;true;1722342515;Ellen Metal Eyeglasses;25.95;red,black,other;false;https://www.glasseslit.com/Public/img/products/J00371/C1_0.jpg;1;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fellen-other-j00371;Glasseslit;J00371
true;Eyeglasses;USD;true;These glasses give you a classic stylish look with a rectangle semi-rimless design. Its well defined brow in acetate goes all the way to the hinges and the temples.They also come in a range of different colors, so you can select whichever goes best with your wardrobe.;2858;0.00;true;1722342515;Anstice Browline Oval Eyeglasses;35.95;tortoiseshell,other,silver;false;https://www.glasseslit.com/Public/img/products/B01182/C2_0.jpg;1;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fanstice-tortoiseshell-b01182;Glasseslit;B01182
true;Eyeglasses;USD;true;Gloria Round Eyeglasses is mixed with TR 90 and metal. It very light. Five colors are available for the type.;3650;0.00;true;1722342515;Gloria Round Eyeglasses;;black;false;https://www.glasseslit.com/Public/img/products/200473/black_0.jpg;19.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fgloria-black-200473;Glasseslit;200473
true;Eyeglasses;USD;true;Kasa Aviator Eyeglasses have so cool look. You can choose tint, polarized or photochromic lenses to make it as sunglasses.;3660;0.00;true;1722342515;Kasa Aviator Eyeglasses;28.95;amber;false;https://www.glasseslit.com/Public/img/products/200483/C5_0.jpg;1;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fkasa-amber-200483;Glasseslit;200483
true;Eyeglasses;USD;true;Optical glasses are not only the glasses, but they are also decorations to make your life more lively. The acetate frame has many colors to fit for your everyday use. With the spring hinges, it is comfortable to wear.;3727;0.00;true;1722342515;200546 Cateye Spring Hinge Glasses;;red,green;false;https://www.glasseslit.com/Public/img/products/200546/C4_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200546-red-200546;Glasseslit;200546
true;Eyeglasses;USD;true;The cate eye frame is made with metal and TR90. With special design for the temple arms, the frame is lovely. It comes in two colors: brown and tortoiseshell.;3825;0.00;true;1722342515;200610 Cateye Eyeglasses;;brown,tortoiseshell;false;https://www.glasseslit.com/Public/img/products/200610/tortoiseshell_0.jpg;23.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200610-tortoiseshell-200610;Glasseslit;200610
true;Eyeglasses;USD;true;The rubber white frame is so light, only 7g for the frame itself. The color is so unique. It is also suitable for teenagers. The shape for the frame is fashionable.;3842;0.00;true;1722342515;200632 Geometric Eyeglasses;;clear;false;https://www.glasseslit.com/Public/img/products/200632/C14_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200632-clear-200632;Glasseslit;200632
true;Sunglasses;USD;true;The heart shape sunglasses is for fashion use. It has polarized lenses. No Rx can be added. The lenses are in grey. Three colors are available: black, orange and rose. ;3893;0.00;true;1722342515;400160 Heart Shape Kids Sunglasses;;black,orange,rose;false;https://www.glasseslit.com/Public/img/products/400160/C3_0.jpg;20.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F400160-orange-400160;Glasseslit;400160
true;Eyeglasses;USD;true;Marianne is a full-rimmed frame for the modern-day fashionista and will stun the crowds. It is crafted from a combination of red/purple and metal. The unique parts of the frame are durable temple arms and the spring hinges offer the extra comfort.;3457;0.00;true;1722342515;Marianne Spring Hinge Cat Eye Eyeglasses;;clear&red,purple &silver;false;https://www.glasseslit.com/Public/img/products/200351/C3_0.jpg;39.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fmarianne-purple_%26silver-200351;Glasseslit;200351
true;Eyeglasses;USD;true;These cat-eye glasses are made with high-quality materials that have a modern feeling. They are beloved by most women because of their fashionable and simply designs. On the corner of the frame, there are some metal decorations.;3547;0.00;true;1722342515;Vanda Cateye Eyeglasses;;pink,tortoiseshell,grey,rainbow;false;https://www.glasseslit.com/Public/img/products/200399/floar_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fvanda-rainbow-200399;Glasseslit;200399
true;Eyeglasses;USD;true;The color for Feng Square Eyeglasses is so lovely. It is suiltable for lady with small face. Get one and you will fall in love with it.;3684;0.00;true;1722342515;Feng Square Eyeglasses;22.95;pink;false;https://www.glasseslit.com/Public/img/products/100256/C7_0.jpg;1;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Ffeng-pink-100256;Glasseslit;100256
true;Eyeglasses;USD;true;It is the typical cateye glasses. With the spring hinges, the frame will not press your head. There is special design which looks like wheatear on the top of the frame. Three colors available: black, tortoiseshell and brown.;3868;0.00;true;1722342515;200644 Cateye Spring Hinge Eyeglasses;;black,tortoiseshell,brown;false;https://www.glasseslit.com/Public/img/products/200644/C6_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200644-brown-200644;Glasseslit;200644
true;Eyeglasses;USD;true;The unique shape of this frame will make you more obvious in the crowd. It is a bit exaggerated but full of design and looks like two frames are superimposed together with a distinctive style. The adjustable nose pads provide the extra comfort.;3428;0.00;true;1722342515;Rosale Aviator Eyeglasses;;clear,black,pink;false;https://www.glasseslit.com/Public/img/products/200332/pink_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Frosale-pink-200332;Glasseslit;200332
true;Eyeglasses;USD;true;Mani Cateye Eyeglasses have the special metal on the front of the frame. You can choose tint, polarized or photochromic lenses to make it as sunglasses.;3663;0.00;true;1722342515;Mani Cateye Eyeglasses;;red,brown,tortoiseshell;false;https://www.glasseslit.com/Public/img/products/200486/brown_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fmani-brown-200486;Glasseslit;200486
true;Eyeglasses;USD;true;So fashionable glasses. With the pearl in the end of the temple tips, the frame will not be monotonous. It will be sunglasses if you choose tint, polarized or photochromic lenses.;3712;0.00;true;1722342515;200532 Square Glasses;;brown,tortoiseshell,floral,grey,purple;false;https://www.glasseslit.com/Public/img/products/200532/C7_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200532-grey-200532;Glasseslit;200532
true;Eyeglasses;USD;true;The color for the frame is double color stitched. With the youthful color, it is suitable for students. Get it to be the knowledgeable person.;3732;0.00;true;1722342515;200539 Oval Spring Hinge Glasses;;fluorescent grey;false;https://www.glasseslit.com/Public/img/products/200539/C9_0.jpg;22.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200539-fluorescent_grey-200539;Glasseslit;200539
true;Eyeglasses;USD;true;Made with lightweight TR90 plastic, the medium-sized translucent frame features gold metal temple arms. With the pattern on the metal arms, the frame looks elegant. Two colors are available: pink and clear.;3746;0.00;true;1722342515;200559 Round Glasses;;pink;false;https://www.glasseslit.com/Public/img/products/200559/C3_0.jpg;15.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200559-pink-200559;Glasseslit;200559
true;Eyeglasses;USD;true;The square frame has grainy temple arms. All the frames are made in TR90. So it is very light. The black color is in gradient black.;3773;0.00;true;1722342515;200580 Square Glasses;;grey,clear,black;false;https://www.glasseslit.com/Public/img/products/200580/black_0.jpg;25.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200580-black-200580;Glasseslit;200580
true;Eyeglasses;USD;true;Make a stylish color statement in these modern square glasses. The ultra lightweight TR90 plastic frame appears clea. This flexible, comfortable frame is so light it feels barely there on.;3781;0.00;true;1722342515;200578 Square Glasses;;clear and black;false;https://www.glasseslit.com/Public/img/products/200578/C7_0.jpg;26.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200578-clear_and_black-200578;Glasseslit;200578
true;Eyeglasses;USD;true;The green high quality square glasses with the wooden temples arms, it is durable. There are rivets design on the front of the frame. It can be sunglasses and daily use.;3811;0.00;true;1722342515;200606 Square Spring Hinge Eyeglasses;;green;false;https://www.glasseslit.com/Public/img/products/200606/green_0.jpg;32.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200606-green-200606;Glasseslit;200606
true;Eyeglasses;USD;true;There is anti-slip design at the end of temple tips. With two unique colors and gold rivets design on front frame, it is distinctive. Never mind you want daily use or sunglasses, the glasses can be OK.;3833;0.00;true;1722342515;200625 Square Eyeglasses;;gradient black,tortoiseshell;false;https://www.glasseslit.com/Public/img/products/200625/C12_0.jpg;23.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200625-gradient_black-200625;Glasseslit;200625
true;Eyeglasses;USD;true;The silver frame with baby green temple tips is so lovely. With the adjustable nose pads, it is comfortable to wear. The gracile metal makes the frame very light. ;3839;0.00;true;1722342515;200629 Browline Eyeglasses;;silver;false;https://www.glasseslit.com/Public/img/products/200629/C4_0.jpg;28.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200629-silver-200629;Glasseslit;200629
true;Eyeglasses;USD;true;The frame makes the details perfect. The outer frame is made of metal but the inner is different. Some cut-in decorations add a sense of dignity to the person wearing it. The nose pads are adjustable.;3065;0.00;true;1722342515;Ivy Round Eyeglasses;;black;false;https://www.glasseslit.com/Public/img/products/B00878/C1_0.jpg;19.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fivy-black-b00878;Glasseslit;B00878
true;Eyeglasses;USD;true;Shelby makes no compromises between fashion and function. The high quality frame is made of titanium. Besides, this extremely lightweight frame is durable, flexible, and fashionable. The adjustable nose pads will also offer extra comfort.;3440;0.00;true;1722342515;Shelby Titanium Cat Eye  Eyeglasses;;black;false;https://www.glasseslit.com/Public/img/products/100213/C1_0.jpg;49.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fshelby-black-100213;Glasseslit;100213
true;Eyeglasses;USD;true;The classic cat's eye shape and the diamond-cut frame make you stand out from the crowd. Made with metal and acetate to give you the ultimate mix of strength, style, flexibility, and comfort. A little retro, a lot modern, and made for the women of tomorrow.;3545;0.00;true;1722342515;Dinah Cateye Eyeglasses;;clear,black,tortoiseshell,brown,blue;false;https://www.glasseslit.com/Public/img/products/200397/tortoiseshell_0.jpg;22.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fdinah-tortoiseshell-200397;Glasseslit;200397
true;Eyeglasses;USD;true;Grace is a cat-eye frame made with high-quality acetate and hand-polished to a glossy finish, The glasses feature spring hinges for a comfortable fit.  With the special design on the front of the frame makes the glasses very fashionable.;3616;0.00;true;1722342515;Grace Cateye Sping Hinge Eyeglasses;;clear,black,champagne,tortoiseshell;false;https://www.glasseslit.com/Public/img/products/200453/C1_0.jpg;28.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fgrace-clear-200453;Glasseslit;200453
